Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
1,Michael Jordan,1986-87,23,CHI,NBA,82,.562,37.1,82,3281,29.8,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,117,104,11.9,5.0,16.9,.247,8.0,0.6,8.6,8.8
2,James Harden,2018-19,29,HOU,NBA,52,.623,36.6,52,1944,31.0,.551,.484,2.8,17.7,10.0,40.5,2.8,1.8,15.4,40.2,119,110,8.2,2.1,10.3,.253,11.2,0.7,12.0,6.8
3,Kobe Bryant,2005-06,27,LAL,NBA,80,.559,35.4,80,3277,28.0,.238,.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,114,105,11.6,3.7,15.3,.224,7.3,-1.5,5.8,6.5
4,Michael Jordan,1987-88,24,CHI,NBA,82,.603,35.0,82,3311,31.7,.027,.430,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,123,101,15.2,6.1,21.2,.308,9.8,2.3,12.2,11.8
5,Michael Jordan,1989-90,26,CHI,NBA,82,.606,33.6,82,3197,31.2,.125,.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,123,106,14.7,4.3,19.0,.285,9.7,0.8,10.6,10.1
6,George Gervin,1979-80,27,SAS,NBA,78,.587,33.1,,2934,24.0,.053,.306,5.7,8.9,7.3,11.0,1.6,1.4,10.3,31.7,115,110,9.3,1.3,10.6,.173,4.9,-2.7,2.2,3.1
7,Allen Iverson,2005-06,30,PHI,NBA,72,.543,33.0,72,3103,25.9,.122,.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,111,110,8.8,1.8,10.6,.165,6.0,-2.5,3.5,4.3
8,Bernard King,1984-85,28,NYK,NBA,55,.585,32.9,55,2063,25.2,.008,.424,6.2,11.8,8.9,18.6,1.7,0.4,11.7,35.1,113,111,5.7,1.5,7.1,.166,5.8,-1.5,4.3,3.3
9,Michael Jordan,1992-93,29,CHI,NBA,78,.564,32.6,78,3067,29.7,.115,.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,119,102,12.0,5.2,17.2,.270,8.3,1.2,9.5,8.9
10,Michael Jordan,1988-89,25,CHI,NBA,81,.614,32.5,81,3255,31.1,.055,.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,123,103,14.6,5.2,19.8,.292,9.8,2.7,12.6,12.0
11,George Gervin,1981-82,29,SAS,NBA,79,.562,32.3,79,2817,24.2,.018,.323,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35.0,114,110,8.7,2.0,10.7,.182,4.6,-2.9,1.7,2.6
12,Tracy McGrady,2002-03,23,ORL,NBA,75,.564,32.1,74,2954,30.3,.247,.400,4.6,14.6,9.5,30.0,2.2,1.5,8.4,35.2,116,104,13.2,2.9,16.1,.262,9.8,-0.1,9.7,8.7
13,Kevin Durant,2013-14,25,OKC,NBA,81,.635,32.0,81,3122,29.8,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,123,104,14.8,4.4,19.2,.295,8.4,0.4,8.8,8.5
14,Kobe Bryant,2006-07,28,LAL,NBA,77,.580,31.6,77,3140,26.1,.227,.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,115,109,10.8,2.2,13.0,.199,6.1,-1.4,4.7,5.3
15,Russell Westbrook,2016-17,28,OKC,NBA,81,.554,31.6,81,2802,30.6,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,13.1,.224,10.9,4.7,15.6,12.4
16,Michael Jordan,1990-91,27,CHI,NBA,82,.605,31.5,82,3034,31.6,.051,.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,125,102,14.9,5.4,20.3,.321,8.9,1.8,10.8,9.8
17,Allen Iverson,2001-02,26,PHI,NBA,60,.489,31.4,59,2622,21.9,.161,.351,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,101,100,2.6,4.3,6.9,.126,3.7,0.2,3.8,3.9
18,LeBron James,2005-06,21,CLE,NBA,79,.568,31.4,79,3361,28.1,.208,.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,115,104,12.0,4.3,16.3,.232,7.9,1.4,9.3,9.5
19,Allen Iverson,2000-01,25,PHI,NBA,71,.518,31.1,71,2979,24.0,.169,.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,106,99,7.3,4.5,11.8,.190,5.0,-0.1,4.8,5.1
20,Moses Malone,1981-82,26,HOU,NBA,81,.576,31.1,81,3398,26.8,.003,.454,17.5,21.2,19.3,6.9,1.1,2.1,11.9,29.9,118,106,11.7,3.7,15.4,.218,5.4,-1.1,4.3,5.4
21,Karl Malone,1989-90,26,UTA,NBA,82,.626,31.0,82,3122,27.2,.026,.561,9.3,24.0,17.1,13.2,1.9,1.0,13.0,32.6,118,102,10.5,5.4,15.9,.245,5.6,1.0,6.6,6.7
22,Adrian Dantley,1980-81,24,UTA,NBA,80,.622,30.7,,3417,24.3,.004,.482,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,118,111,12.3,1.3,13.6,.191,6.4,-1.8,4.6,5.7
23,Allen Iverson,2004-05,29,PHI,NBA,75,.532,30.7,75,3174,23.2,.186,.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35.0,105,105,5.3,3.7,9.0,.136,4.8,-0.5,4.3,5.0
24,Dominique Wilkins,1987-88,28,ATL,NBA,78,.534,30.7,76,2948,23.7,.066,.335,7.9,11.0,9.5,13.5,1.7,1.0,8.9,35.2,111,109,7.0,2.8,9.8,.160,4.4,-1.5,2.9,3.7
25,Adrian Dantley,1983-84,27,UTA,NBA,79,.652,30.6,79,2984,24.6,.003,.658,6.7,9.0,7.9,16.2,0.9,0.1,12.4,28.2,126,112,13.0,1.6,14.6,.235,6.6,-2.2,4.4,4.8
26,James Harden,2017-18,28,HOU,NBA,72,.619,30.4,72,2551,29.8,.498,.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,120,105,11.6,3.8,15.4,.289,9.6,1.3,10.9,8.3
27,Michael Jordan,1995-96,32,CHI,NBA,82,.582,30.4,82,3090,29.4,.141,.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,124,100,14.2,6.2,20.4,.317,7.2,1.4,8.6,8.3
28,Adrian Dantley,1981-82,25,UTA,NBA,81,.631,30.3,81,3222,24.2,.002,.516,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,121,114,11.9,0.7,12.6,.187,6.6,-2.0,4.6,5.3
29,Dominique Wilkins,1985-86,26,ATL,NBA,78,.536,30.3,78,3049,23.3,.037,.372,9.5,12.9,11.2,11.7,2.2,0.9,10.2,32.9,111,105,7.0,3.9,10.8,.170,3.8,-0.2,3.6,4.3
30,World B. Free,1979-80,26,SDC,NBA,68,.544,30.2,,2585,22.7,.016,.488,5.2,4.7,5.0,18.0,1.5,0.7,10.8,32.7,112,113,7.7,0.3,8.0,.148,4.3,-3.3,1.0,1.9
31,Dwyane Wade,2008-09,27,MIA,NBA,79,.574,30.2,79,3048,30.4,.160,.443,3.5,12.2,7.8,40.3,3.0,2.8,11.6,36.2,115,105,10.3,4.4,14.7,.232,8.7,2.0,10.7,9.7
32,Stephen Curry,2015-16,27,GSW,NBA,79,.669,30.1,79,2700,31.5,.554,.250,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,125,103,13.8,4.1,17.9,.318,12.4,0.1,12.5,9.8
33,Kevin Durant,2009-10,21,OKC,NBA,82,.607,30.1,82,3239,26.2,.210,.504,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,118,104,11.1,5.0,16.1,.238,4.9,0.2,5.1,5.8
34,Michael Jordan,1991-92,28,CHI,NBA,80,.579,30.1,80,3102,27.7,.055,.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,121,102,12.1,5.6,17.7,.274,6.9,1.7,8.6,8.3
35,Kobe Bryant,2002-03,24,LAL,NBA,82,.550,30.0,82,3401,26.2,.168,.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,111,103,11.0,4.0,14.9,.210,6.1,0.3,6.4,7.1
36,LeBron James,2007-08,23,CLE,NBA,75,.568,30.0,74,3027,29.1,.219,.470,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,116,104,10.7,4.6,15.2,.242,9.0,2.3,11.2,10.1
37,Larry Bird,1987-88,31,BOS,NBA,76,.608,29.9,75,2965,27.8,.142,.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,121,106,11.2,3.8,15.0,.243,7.5,1.3,8.8,8.1
38,Dominique Wilkins,1992-93,33,ATL,NBA,71,.570,29.9,70,2647,24.3,.199,.396,7.6,12.9,10.1,14.9,1.3,0.6,9.0,31.9,119,112,9.1,1.4,10.5,.191,5.9,-2.4,3.6,3.7
39,Adrian Dantley,1985-86,29,UTA,NBA,76,.629,29.8,75,2744,24.6,.008,.548,7.2,8.5,7.8,16.7,1.1,0.1,11.4,30.0,121,109,10.4,2.3,12.8,.223,6.7,-1.7,4.9,4.8
40,Alex English,1985-86,32,DEN,NBA,81,.562,29.8,81,3024,21.7,.003,.314,6.3,7.7,7.0,17.0,1.1,0.5,10.4,30.5,113,110,7.6,2.3,9.8,.156,4.1,-2.0,2.1,3.2
41,David Robinson,1993-94,28,SAS,NBA,80,.577,29.8,80,3241,30.7,.017,.558,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,119,98,13.3,6.7,20.0,.296,6.8,4.2,10.9,10.6
42,Jerry Stackhouse,2000-01,26,DET,NBA,80,.521,29.8,80,3215,21.8,.245,.420,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,104,105,6.6,2.6,9.2,.137,5.3,-1.6,3.7,4.6
43,LeBron James,2009-10,25,CLE,NBA,76,.604,29.7,76,2966,31.1,.253,.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,121,102,13.3,5.2,18.5,.299,9.7,2.8,12.5,10.9
44,Shaquille O'Neal,1999-00,27,LAL,NBA,79,.578,29.7,79,3163,30.6,.001,.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,115,95,11.7,7.0,18.6,.283,6.2,3.5,9.7,9.3
45,Michael Jordan,1996-97,33,CHI,NBA,82,.567,29.6,82,3106,27.8,.157,.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,121,102,13.3,5.0,18.3,.283,6.5,0.2,6.7,6.8
46,Mark Aguirre,1983-84,24,DAL,NBA,79,.572,29.5,79,2900,23.5,.032,.352,6.4,12.3,9.4,21.0,1.3,0.4,12.3,33.4,112,111,7.0,2.0,9.0,.149,5.0,-1.7,3.3,3.9
47,Kiki Vandeweghe,1983-84,25,DEN,NBA,78,.618,29.4,71,2734,23.6,.019,.362,3.1,11.4,7.2,13.1,0.8,1.0,7.7,27.8,122,114,9.7,0.6,10.3,.181,5.0,-3.1,1.9,2.7
48,Gilbert Arenas,2005-06,24,WAS,NBA,80,.581,29.3,80,3384,23.8,.324,.479,2.0,7.8,4.8,27.0,2.5,0.6,12.8,30.5,115,108,11.0,2.6,13.6,.193,6.9,-1.4,5.5,6.4
49,Shaquille O'Neal,1994-95,22,ORL,NBA,79,.588,29.3,79,2923,28.6,.003,.536,13.3,21.7,17.6,13.3,1.3,4.5,9.4,31.9,118,104,9.6,4.4,14.0,.230,4.5,0.9,5.4,5.4
50,Shaquille O'Neal,1993-94,21,ORL,NBA,81,.605,29.3,81,3224,28.5,.001,.534,13.5,23.7,18.7,11.0,1.2,4.5,10.2,29.0,120,102,12.1,4.8,16.9,.252,5.4,1.2,6.6,7.1
51,James Harden,2016-17,27,HOU,NBA,81,.613,29.1,81,2947,27.4,.493,.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,118,107,11.5,3.6,15.0,.245,8.7,1.5,10.1,9.0
52,Karl Malone,1988-89,25,UTA,NBA,80,.592,29.1,80,3126,24.4,.010,.589,10.0,19.6,15.1,12.8,2.3,1.3,12.7,30.4,115,99,8.6,6.6,15.2,.233,4.2,1.9,6.1,6.5
53,Anthony Davis,2018-19,25,NOP,NBA,43,.599,29.0,43,1578,31.1,.144,.452,9.7,27.9,19.0,19.1,2.1,5.8,7.6,29.6,124,105,6.3,2.6,8.9,.270,5.4,3.8,9.2,4.5
54,James Harden,2015-16,26,HOU,NBA,82,.598,29.0,82,3125,25.3,.406,.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,115,108,10.7,2.6,13.3,.204,7.1,-0.4,6.7,6.9
55,Karl Malone,1990-91,27,UTA,NBA,82,.596,29.0,82,3302,24.8,.009,.552,9.0,24.5,17.2,14.7,1.4,1.5,10.9,30.1,117,102,9.9,5.6,15.5,.225,4.3,1.5,5.8,6.5
56,Dominique Wilkins,1986-87,27,ATL,NBA,79,.543,29.0,79,2969,23.5,.059,.415,7.7,10.3,9.0,14.9,1.9,1.0,9.2,32.3,115,107,8.4,3.7,12.2,.197,4.9,0.0,4.9,5.2
57,Carmelo Anthony,2006-07,22,DEN,NBA,65,.552,28.9,65,2486,22.1,.103,.391,6.6,11.1,8.9,19.2,1.5,0.7,12.1,33.4,109,108,5.2,2.1,7.3,.140,3.1,-1.1,2.0,2.5
58,Isaiah Thomas,2016-17,27,BOS,NBA,76,.625,28.9,76,2569,26.5,.439,.441,1.9,7.0,4.4,32.5,1.4,0.4,10.7,34.0,122,112,10.9,1.6,12.5,.234,8.7,-3.3,5.4,4.8
59,Carmelo Anthony,2012-13,28,NYK,NBA,67,.560,28.7,67,2482,24.8,.278,.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,112,108,7.5,2.0,9.5,.184,4.7,-2.3,2.4,2.8
60,Larry Bird,1984-85,28,BOS,NBA,80,.585,28.7,77,3161,26.5,.074,.260,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,119,103,10.5,5.2,15.7,.238,6.1,2.4,8.5,8.4
61,Michael Jordan,1997-98,34,CHI,NBA,82,.533,28.7,82,3181,25.2,.067,.381,4.7,12.5,8.5,18.0,2.4,1.0,7.7,33.7,114,100,10.4,5.4,15.8,.238,4.6,0.0,4.6,5.3
62,Shaquille O'Neal,2000-01,28,LAL,NBA,74,.574,28.7,74,2924,30.2,.001,.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,114,101,11.1,3.9,14.9,.245,5.7,1.6,7.3,6.8
63,Stephen Curry,2018-19,30,GSW,NBA,44,.664,28.6,44,1507,25.8,.586,.241,2.3,13.2,8.0,24.5,1.6,0.9,11.6,30.4,123,111,5.7,1.4,7.1,.225,8.8,-2.0,6.8,3.4
64,Alex English,1986-87,33,DEN,NBA,82,.549,28.6,82,3085,20.5,.008,.254,4.7,7.2,5.8,21.6,1.1,0.4,9.1,29.2,113,114,7.0,1.1,8.1,.126,3.8,-2.8,1.0,2.3
65,Patrick Ewing,1989-90,27,NYK,NBA,82,.599,28.6,82,3165,25.8,.002,.387,8.5,22.4,15.7,10.0,1.2,5.9,12.4,29.4,115,103,8.3,5.3,13.5,.205,2.6,1.9,4.6,5.2
66,Kobe Bryant,2000-01,22,LAL,NBA,68,.552,28.5,68,2783,24.5,.132,.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,112,105,9.2,2.2,11.3,.196,5.3,-1.0,4.2,4.4
67,Gilbert Arenas,2006-07,25,WAS,NBA,74,.565,28.4,73,2942,24.0,.377,.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,115,111,9.3,1.5,10.8,.177,7.0,-2.0,5.0,5.2
68,Alex English,1982-83,29,DEN,NBA,82,.561,28.4,82,2988,24.1,.006,.264,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,113,109,8.7,1.6,10.3,.166,5.3,-0.6,4.7,5.0
69,Allen Iverson,1999-00,24,PHI,NBA,70,.496,28.4,70,2853,20.0,.151,.358,2.7,7.7,5.2,23.0,2.6,0.1,10.3,34.4,101,102,3.3,3.6,6.9,.116,3.4,-0.8,2.6,3.3
70,LeBron James,2008-09,24,CLE,NBA,81,.591,28.4,81,3054,31.7,.238,.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,122,99,13.7,6.5,20.3,.318,9.4,3.6,13.0,11.6
71,Bernard King,1990-91,34,WSB,NBA,64,.527,28.4,64,2401,19.1,.024,.321,5.2,9.4,7.3,21.8,1.1,0.4,12.9,34.4,103,111,1.9,1.6,3.5,.070,2.4,-2.2,0.1,1.3
72,Charles Barkley,1987-88,24,PHI,NBA,80,.665,28.3,80,3170,27.6,.122,.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,126,108,13.4,3.3,16.7,.253,8.3,0.7,9.0,8.7
73,Kobe Bryant,2007-08,29,LAL,NBA,82,.576,28.3,82,3192,24.2,.246,.439,3.4,14.1,9.0,23.9,2.4,0.9,11.3,31.4,115,105,9.5,4.3,13.8,.208,5.1,0.3,5.4,6.0
74,Paul George,2018-19,28,OKC,NBA,54,.597,28.3,54,1950,24.8,.455,.340,4.1,18.8,11.4,17.5,3.0,1.1,10.0,29.7,119,103,5.7,3.6,9.3,.230,5.4,0.9,6.3,4.1
75,Shaquille O'Neal,1997-98,25,LAL,NBA,60,.587,28.3,57,2175,28.8,.000,.594,11.1,24.0,17.7,13.5,0.9,4.6,10.8,32.9,113,101,6.7,3.4,10.2,.224,3.8,0.8,4.6,3.6
76,Carmelo Anthony,2009-10,25,DEN,NBA,69,.548,28.2,69,2634,22.2,.125,.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,110,109,5.6,2.4,7.9,.145,2.7,-1.3,1.4,2.3
77,Kevin Durant,2015-16,27,OKC,NBA,72,.634,28.2,72,2578,28.2,.348,.361,2.0,21.8,12.4,24.2,1.3,2.5,13.5,30.6,122,104,11.0,3.5,14.5,.270,7.0,0.9,7.9,6.4
78,Michael Jordan,1984-85,21,CHI,NBA,82,.592,28.2,82,3144,25.8,.032,.459,6.3,13.2,9.8,25.3,3.0,1.3,13.0,29.8,118,107,10.3,3.7,14.0,.213,6.8,1.4,8.2,8.1
79,Larry Bird,1986-87,30,BOS,NBA,74,.612,28.1,73,3005,26.4,.150,.304,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,121,104,10.4,4.8,15.2,.243,7.1,2.1,9.2,8.5
80,Anthony Davis,2017-18,24,NOP,NBA,75,.612,28.1,75,2727,28.9,.111,.409,7.7,24.8,16.5,10.8,2.0,5.6,8.6,30.0,119,102,8.8,4.9,13.7,.241,2.8,2.3,5.2,4.9
81,Kevin Durant,2012-13,24,OKC,NBA,81,.647,28.1,81,3119,28.3,.233,.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,122,100,13.6,5.3,18.9,.291,6.2,1.4,7.7,7.6
82,Russell Westbrook,2014-15,26,OKC,NBA,67,.536,28.1,67,2302,29.1,.196,.445,5.9,16.7,11.4,47.0,3.0,0.5,14.3,38.4,111,103,7.5,3.2,10.6,.222,8.8,2.2,11.0,7.6
83,Dominique Wilkins,1991-92,32,ATL,NBA,42,.552,28.1,42,1601,22.2,.140,.385,6.7,13.1,9.8,16.1,1.6,0.9,10.2,30.7,113,110,3.8,1.3,5.1,.152,4.2,-1.1,3.0,2.0
84,Adrian Dantley,1979-80,23,UTA,NBA,68,.635,28.0,,2674,24.3,.002,.415,8.3,14.0,11.3,12.3,1.8,0.3,13.5,27.8,119,110,9.5,1.1,10.5,.189,5.6,-1.9,3.6,3.8
85,Anthony Davis,2016-17,23,NOP,NBA,75,.580,28.0,75,2708,27.5,.088,.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,112,102,5.9,5.1,11.0,.195,1.4,2.3,3.7,3.9
86,Kevin Durant,2011-12,23,OKC,NBA,66,.610,28.0,66,2546,26.2,.265,.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,114,101,8.5,3.7,12.2,.230,4.7,0.5,5.2,4.6
87,Karl Malone,1991-92,28,UTA,NBA,81,.599,28.0,81,3054,25.4,.011,.571,8.7,24.1,16.8,13.4,1.8,1.0,11.6,30.3,118,103,9.9,5.2,15.1,.237,4.4,0.9,5.3,5.6
88,Tracy McGrady,2003-04,24,ORL,NBA,67,.526,28.0,67,2675,25.3,.328,.319,3.9,13.3,8.5,28.3,1.8,1.1,9.1,33.2,110,110,8.1,0.4,8.4,.151,7.9,-2.1,5.8,5.3
89,Purvis Short,1984-85,27,GSW,NBA,78,.533,28.0,77,3081,18.9,.084,.344,5.3,9.6,7.2,12.3,1.8,0.5,10.5,29.1,110,114,5.4,0.8,6.2,.097,2.6,-2.3,0.3,1.8
90,Kobe Bryant,2011-12,33,LAL,NBA,58,.527,27.9,58,2232,21.9,.215,.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,105,106,4.2,2.0,6.2,.132,3.6,-1.4,2.3,2.4
91,Alex English,1984-85,31,DEN,NBA,81,.561,27.9,81,2924,21.6,.003,.255,7.0,9.9,8.3,17.9,1.5,0.9,11.1,29.3,113,111,6.8,2.1,8.9,.146,4.0,-1.6,2.4,3.2
92,Moses Malone,1980-81,25,HOU,NBA,80,.585,27.8,,3245,25.1,.002,.520,16.1,24.5,20.3,6.6,1.2,2.6,14.0,27.6,115,104,9.5,4.2,13.7,.202,3.9,-0.2,3.7,4.7
93,Hakeem Olajuwon,1994-95,32,HOU,NBA,72,.563,27.8,72,2853,26.0,.010,.348,7.3,23.1,15.6,17.2,2.4,5.9,11.7,31.7,110,100,5.1,5.6,10.7,.181,1.3,4.0,5.3,5.3
94,Kevin Durant,2010-11,22,OKC,NBA,78,.589,27.7,78,3038,23.6,.269,.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,115,107,8.6,3.3,12.0,.189,3.7,-0.8,2.9,3.7
95,Karl Malone,1987-88,24,UTA,NBA,82,.568,27.7,82,3198,20.7,.003,.478,9.7,22.8,16.6,10.1,1.7,0.9,14.0,29.7,107,101,4.0,6.1,10.1,.152,1.5,1.1,2.5,3.7
96,Charles Barkley,1990-91,27,PHI,NBA,67,.635,27.6,67,2498,28.9,.133,.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,123,106,10.3,3.1,13.4,.258,9.0,0.9,9.9,7.4
97,Kobe Bryant,2004-05,26,LAL,NBA,66,.563,27.6,66,2689,23.3,.292,.502,4.0,12.4,8.2,28.5,1.7,1.4,14.3,31.7,111,111,7.1,1.0,8.1,.145,5.6,-1.0,4.6,4.5
98,Vince Carter,2000-01,24,TOR,NBA,75,.551,27.6,75,2979,25.0,.240,.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,114,104,10.3,2.6,12.9,.208,7.7,-0.6,7.0,6.8
99,Allen Iverson,2002-03,27,PHI,NBA,82,.500,27.6,82,3485,21.2,.156,.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,103,102,5.0,4.2,9.2,.127,3.1,-0.3,2.8,4.2
100,David Robinson,1994-95,29,SAS,NBA,81,.602,27.6,81,3074,29.1,.013,.570,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,120,99,10.7,6.7,17.5,.273,4.1,4.3,8.4,8.1